Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2UF","C_1206_3216Metric",142.800000,-95.100000,0.000000,bottom
"C2","22uF/10v","C_0805_2012Metric",135.050000,-81.800000,0.000000,bottom
"C8","0.1 uf","C_0402_1005Metric",146.000000,-96.600000,90.000000,bottom
"C9","10 uf","C_0603_1608Metric",139.550000,-94.675000,90.000000,bottom
"C11","0.1 uF","C_0402_1005Metric",136.200000,-93.900000,180.000000,bottom
"C12","10 nf","C_01005_0402Metric",148.005514,-94.595514,180.000000,bottom
"C13","2.2UF","C_01005_0402Metric",148.005514,-93.795514,180.000000,bottom
"C14","100 nf","C_01005_0402Metric",146.305514,-92.595514,90.000000,bottom
"C15","4.7 uf","C_01005_0402Metric",147.005514,-92.595514,90.000000,bottom
"C16","100 nf","C_01005_0402Metric",151.750000,-86.250000,0.000000,bottom
"C17","4.7 uf","C_01005_0402Metric",151.750000,-85.400000,0.000000,bottom
"C19","100 nf","C_01005_0402Metric",141.445620,-92.300000,180.000000,bottom
"C20","220nf","C_01005_0402Metric",146.325000,-84.300000,90.000000,bottom
"C21","C_Small","C_01005_0402Metric",146.150000,-82.400000,-90.000000,bottom
"C22","C_Small","C_01005_0402Metric",146.950000,-82.350000,-90.000000,bottom
"C23","C_Small","C_01005_0402Metric",147.800000,-82.300000,-90.000000,bottom
"L1","22uH","L_Bourns_SRP5030T",134.350000,-86.400000,90.000000,bottom
"R1","69.8 k","C_0805_2012Metric",139.800000,-82.150000,-90.000000,bottom
"R6","22.1k","R_0603_1608Metric",141.700000,-82.325000,90.000000,bottom
"U3","~","QFN-32_L5.0-W5.0-P0.50-BL-EP3.7",149.800000,-89.900000,-90.000000,bottom
"U4","~","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",135.150000,-91.800000,180.000000,bottom
"U5","~","TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL",142.425620,-88.000000,0.000000,bottom
"U6","~","LGA-12_L2.0-W2.0-P0.50-BL",148.025000,-84.300000,180.000000,bottom
"C3","100pF","C_01005_0402Metric",136.524750,-91.925000,90.000000,top
"C4","100pF","C_01005_0402Metric",136.925000,-93.225000,-90.000000,top
"C5","100pF","C_01005_0402Metric",134.249750,-92.900000,-90.000000,top
"C6","0.1 uF","C_01005_0402Metric",136.349750,-90.600000,90.000000,top
"C7","1 uF","C_0603_1608Metric",134.350000,-81.900000,0.000000,top
"C10","0.1 uF","C_0402_1005Metric",139.649750,-88.900000,-90.000000,top
"C18","0.1 uf 6.3v","C_0402_1005Metric",132.900000,-93.600000,0.000000,top
"C24","0.1 uF","C_0402_1005Metric",142.450000,-91.900000,90.000000,top
"LED1","~","LED0603-RD",144.600000,-93.950000,180.000000,top
"R2","600","R_01005_0402Metric",137.325000,-91.925000,90.000000,top
"R3","600","R_01005_0402Metric",135.900000,-93.200000,-90.000000,top
"R4","600","R_01005_0402Metric",135.000000,-92.900000,-90.000000,top
"R7","10k","R_0402_1005Metric",143.900000,-89.500000,180.000000,top
"R8","1k","R_0603_1608Metric",147.550000,-92.650000,0.000000,top
"R9","2000","R_01005_0402Metric",132.049750,-91.800000,-90.000000,top
"R10","2000","R_01005_0402Metric",131.400000,-91.350000,-90.000000,top
"R11","2000","R_01005_0402Metric",133.150000,-91.800000,-90.000000,top
"SW1","~","KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0",141.050000,-91.900000,-90.000000,top
"SW2","~","KEY-SMD_4P-L2.6-W1.6-P0.80-LS3.0",144.900000,-91.000000,180.000000,top
"U1","~","VQFN-28_L6.0-W5.0-P0.50-TL-EP4.0",133.850000,-87.600000,180.000000,top
"U2","~","JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical",143.250000,-83.325000,180.000000,top
"U7","~","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",149.800000,-88.000000,-90.000000,top
