Designator,Mid X,Mid Y,Rotation,Layer
C1,142.27,-94.64,0.0,bottom
C10,143.3,-82.65,270.0,top
C11,132.49,-85.3,180.0,bottom
C12,150.9,-84.62,180.0,bottom
C13,150.645,-83.49,180.0,bottom
C14,152.48,-84.51,270.0,bottom
C15,153.56,-84.55,270.0,bottom
C16,146.55,-91.6,0.0,bottom
C17,147.191023,-92.868089,0.0,bottom
C18,142.74,-90.2,90.0,top
C19,143.45,-83.7,180.0,bottom
C2,135.74,-83.33,0.0,bottom
C20,148.6,-82.65,180.0,top
C21,150.13,-82.66,0.0,top
C22,151.61,-81.695,270.0,top
C23,151.91,-81.95,180.0,bottom
C24,142.9,-92.55,90.0,top
C25,147.59,-80.7,270.0,top
C26,151.74,-80.46,270.0,bottom
C27,153.7,-91.65,270.0,top
C28,137.3,-97.96,180.0,bottom
C29,139.415,-92.49,0.0,bottom
C3,141.45,-86.94,90.0,top
C30,139.55,-98.67,90.0,bottom
C4,143.3,-87.3,0.0,top
C5,143.0,-88.5,270.0,top
C6,133.65,-88.5,90.0,top
C7,132.27,-90.21,270.0,top
C8,142.35,-82.65,270.0,top
C9,142.6,-98.63,0.0,bottom
J1,145.79,-83.51,180.0,top
J2,142.1,-96.86,0.0,top
L1,134.22,-89.2,180.0,bottom
LED1,136.35,-97.1,0.0,top
R1,135.73,-85.31,0.0,bottom
R10,139.6,-92.5,270.0,top
R11,141.6,-89.85,270.0,top
R12,147.62,-77.29,0.0,bottom
R13,136.3,-93.85,180.0,top
R2,142.2,-86.94,90.0,top
R3,143.35,-86.5,0.0,top
R4,144.1,-88.0,0.0,top
R5,152.24,-93.95,180.0,bottom
R6,137.9,-96.45,180.0,bottom
R7,146.85,-89.8,180.0,top
R8,136.3,-95.4,0.0,top
R9,140.65,-92.54,270.0,top
SW1,144.5,-92.75,90.0,top
SW2,146.5,-93.05,90.0,top
U1,137.45,-88.4925,270.0,top
U10,149.9925,-88.2,270.0,bottom
U2,149.4989,-80.589999,270.0,bottom
U4,135.8,-94.164,0.0,bottom
U5,142.5,-88.0,270.0,bottom
U6,149.4,-80.95,270.0,top
U7,150.25,-86.7,270.0,top
U9,150.825,-91.775,90.0,top
